Time,FromRest,Run1,Run2,Run3,Run4,Run5,Run6,Run7,,MassAdded,T2,,,b
9,0.7411544,0.724416,0.7803936,0.8473472,0.8857632,1.0117128,0.982352,1.0339392,,,,,,
9.05,0.7411544,0.7142632,0.7592648,0.8253952,0.8668296,0.9911328,0.963144,1.0177496,,,,,,
9.1,0.7403312,0.7063056,0.7403312,0.8020712,0.845152,0.9680832,0.9422896,0.9979928,,,,,,
9.15,0.7392336,0.6991712,0.7224952,0.7812168,0.8240232,0.9464056,0.9225328,0.9826264,,,,,,
9.2,0.738136,0.694232,0.7063056,0.76146,0.8031688,0.9252768,0.900032,0.9614976,,,,,,
9.25,0.7370384,0.691488,0.691488,0.742252,0.7809424,0.9019528,0.8769824,0.9431128,,,,,,
9.3,0.735392,0.6909392,0.6785912,0.7241416,0.7620088,0.87808,0.8539328,0.9222584,,,,,,
9.35,0.7334712,0.6925856,0.6678896,0.7087752,0.7433496,0.8539328,0.831432,0.9008552,,,,,,
9.4,0.7320992,0.6950552,0.6591088,0.6939576,0.7260624,0.8306088,0.8086568,0.8797264,,,,,,
9.45,0.7304528,0.7002688,0.6525232,0.681884,0.7109704,0.8070104,0.7867048,0.8577744,,,,,,
9.5,0.728532,0.707952,0.6484072,0.670908,0.696976,0.78204,0.7631064,0.835548,,,,,,
9.55,0.72716,0.7164584,0.6470352,0.661304,0.684628,0.760088,0.743624,0.8144192,,,,,,
9.6,0.7252392,0.7263368,0.647584,0.6549928,0.673652,0.7389592,0.724416,0.7919184,,,,,,
9.65,0.7246904,0.7389592,0.650328,0.6508768,0.66542,0.7194768,0.7063056,0.7718872,,,,,,
9.7,0.7235928,0.7524048,0.655816,0.6492304,0.65856,0.7008176,0.6903904,0.7526792,,,,,,
9.75,0.7222208,0.7680456,0.664048,0.648956,0.6547184,0.6843536,0.6755728,0.7337456,,,,,,
9.8,0.7219464,0.783412,0.673652,0.6514256,0.6514256,0.6692616,0.662676,0.7170072,,,,,,
9.85,0.7205744,0.80262,0.6851768,0.6566392,0.6517,0.6563648,0.6519744,0.7019152,,,,,,
9.9,0.718928,0.8199072,0.6994456,0.6632248,0.6538952,0.6459376,0.643468,0.687372,,,,,,
9.95,0.7183792,0.838292,0.7150864,0.6725544,0.6580112,0.636608,0.6368824,0.6744752,,,,,,
10,0.717556,0.8566768,0.732648,0.6829816,0.6643224,0.629748,0.6313944,0.6634992,,,,,,
10.05,0.716184,0.8750616,0.7515816,0.6961528,0.67228,0.6253576,0.6289248,0.6549928,,,,,,
10.1,0.7156352,0.8937208,0.7716128,0.7109704,0.681884,0.6234368,0.6289248,0.6473096,,,,,,
10.15,0.7153608,0.9118312,0.7924672,0.7266112,0.694232,0.6239856,0.63112,0.6423704,,,,,,
10.2,0.714812,0.9291184,0.813596,0.7444472,0.7076776,0.6259064,0.635236,0.6388032,,,,,,
10.25,0.7153608,0.943936,0.838292,0.7633808,0.7235928,0.6316688,0.6409984,0.6377056,,,,,,
